num,roundType,power,bossId,boss,monster,powerRatio,reward,raidReward
138,0,89595,0,32220,30506~122|30510~122|32220~122|32023~122|32220~122|30512~122|0~122,1,10006~75|23304~1,10005~32000~1|10006~104~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
139,0,90825,0,30515,32019~122|30513~122|32063~122|32062~122|30515~122|32219~122|0~122,1,10006~75|23404~1,10005~32000~1|10006~104~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
140,1,92065,31140,31140,32020~123|32021~123|0~123|0~123|0~123|0~123|31140~128,1,10006~150|23204~1|23104~1|23304~1|23404~1,10005~32000~1|10006~104~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
141,0,92065,0,32064,32019~123|32020~123|30502~123|32220~123|32064~123|30504~123|0~123,1,10006~75|23204~1,10005~33000~1|10006~106~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
142,0,92605,0,32064,32059~123|32060~123|32063~123|32142~123|32064~123|32220~123|0~123,1,10006~75|23104~1,10005~33000~1|10006~106~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
143,0,92605,0,32023,32019~123|32301~123|32180~123|30502~123|32023~123|32219~123|0~123,1,10006~75|23304~1,10005~33000~1|10006~106~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
144,0,93835,0,30504,32059~124|32137~124|30507~124|32141~124|30504~124|32062~124|0~124,1,10006~75|23404~1,10005~33000~1|10006~106~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
145,1,95075,0,32142,30516~124|32019~124|30518~124|30507~124|32142~124|30515~124|0~124,1,10006~150|23204~1|23104~1|23304~1|23404~1,10005~33000~1|10006~106~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
146,0,95075,0,32220,30513~124|30517~124|30511~124|30508~124|32220~124|30507~124|0~124,1,10006~75|23204~1,10005~34000~1|10006~108~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
147,0,95615,0,32024,30506~125|32019~125|32217~125|32061~125|32024~125|30508~125|0~125,1,10006~75|23104~1,10005~34000~1|10006~108~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
148,0,95615,0,32021,32301~125|32059~125|32140~125|32062~125|32021~125|30504~125|0~125,1,10006~75|23304~1,10005~34000~1|10006~108~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
149,0,96855,0,30502,30506~125|30510~125|30515~125|30511~125|30502~125|32061~125|0~125,1,10006~75|23404~1,10005~34000~1|10006~108~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
150,1,98090,30518,30518,30510~126|32059~126|0~126|0~126|0~126|0~126|30518~131,1,10006~150|23204~1|23104~1|23304~1|23404~1,10005~34000~1|10006~108~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
151,0,98090,0,32140,30516~126|32137~126|32021~126|32021~126|32140~126|30503~126|0~126,1,10006~75|23204~1,10005~35000~1|10006~110~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
152,0,98640,0,32180,30510~126|32059~126|30511~126|32140~126|32180~126|30515~126|0~126,1,10006~75|23104~1,10005~35000~1|10006~110~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
153,0,98640,0,30508,30506~127|30506~127|30515~127|32140~127|30508~127|30502~127|0~127,1,10006~75|23304~1,10005~35000~1|10006~110~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
154,0,99870,0,30518,32019~127|32060~127|32220~127|30502~127|30518~127|30503~127|0~127,1,10006~75|23404~1,10005~35000~1|10006~110~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
155,1,101115,0,32060,30509~128|30516~128|30515~128|32140~128|32060~128|32219~128|0~128,1,10006~150|23204~1|23104~1|23304~1|23404~1,10005~35000~1|10006~110~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
156,0,101115,0,32217,32059~128|30510~128|30508~128|30502~128|32217~128|32021~128|0~128,1,10006~75|23204~1,10005~36000~1|10006~112~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
157,0,101665,0,32219,32059~128|30501~128|30504~128|32220~128|32219~128|30511~128|0~128,1,10006~75|23104~1,10005~36000~1|10006~112~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
158,0,101665,0,30512,30517~129|30506~129|32062~129|32024~129|30512~129|30503~129|0~129,1,10006~75|23304~1,10005~36000~1|10006~112~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
159,0,104640,0,32141,30513~129|30506~129|32062~129|30507~129|32141~129|32021~129|0~129,1,10006~75|23404~1,10005~36000~1|10006~112~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
160,1,105935,30511,30511,32020~130|30509~130|0~130|0~130|0~130|0~130|30511~135,1,10006~150|23204~1|23104~1|23304~1|23404~1,10005~36000~1|10006~112~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
161,0,105935,0,32141,30509~130|32060~130|30508~130|32063~130|32141~130|32025~130|0~130,1,10006~75|23204~1,10005~37000~1|10006~114~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
162,0,106530,0,32220,30501~130|32019~130|30512~130|32062~130|32220~130|30507~130|0~130,1,10006~75|23104~1,10005~37000~1|10006~114~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
163,0,106530,0,30503,32059~130|30505~130|32024~130|30504~130|30503~130|30515~130|0~130,1,10006~75|23304~1,10005~37000~1|10006~114~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
164,0,107825,0,32180,30506~131|30505~131|32023~131|32220~131|32180~131|30515~131|0~131,1,10006~75|23404~1,10005~37000~1|10006~114~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
165,1,109130,0,30511,32137~131|30509~131|30503~131|30504~131|30511~131|32064~131|0~131,1,10006~155|23204~1|23104~1|23304~1|23404~1,10005~37000~1|10006~114~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
166,0,109130,0,30508,30517~131|30509~131|30515~131|30502~131|30508~131|30518~131|0~131,1,10006~75|23204~1,10005~38000~1|10006~116~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
167,0,113880,0,32062,32021~132|32021~132|30518~132|32025~132|32062~132|32025~132|0~132,1,10006~75|23104~1,10005~38000~1|10006~116~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
168,0,113880,0,32217,32301~132|32020~132|30502~132|32023~132|32217~132|32025~132|0~132,1,10006~75|23304~1,10005~38000~1|10006~116~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
169,0,118700,0,32142,32137~132|32021~132|30511~132|32342~132|32142~132|32021~132|0~132,1,10006~75|23404~1,10005~38000~1|10006~116~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
170,1,120190,30511,30511,32021~133|32021~133|0~133|0~133|0~133|0~133|30511~138,1,10006~155|23204~1|23104~1|23304~1|23404~1,10005~38000~1|10006~116~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
171,0,120190,0,30512,30510~133|32060~133|30507~133|32060~133|30512~133|32062~133|0~133,1,10006~75|23204~1,10005~39000~1|10006~118~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
172,0,120975,0,32061,30501~133|32060~133|32217~133|32023~133|32061~133|30507~133|0~133,1,10006~75|23104~1,10005~39000~1|10006~118~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
173,0,120975,0,32140,32059~133|32301~133|32021~133|30503~133|32140~133|30511~133|0~133,1,10006~75|23304~1,10005~39000~1|10006~118~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
174,0,122480,0,30515,32060~134|30517~134|32141~134|30507~134|30515~134|32220~134|0~134,1,10006~75|23404~1,10005~39000~1|10006~118~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
175,1,123985,0,32060,30517~134|30517~134|32063~134|32063~134|32060~134|32021~134|0~134,1,10006~155|23204~1|23104~1|23304~1|23404~1,10005~39000~1|10006~118~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
176,0,123985,0,32021,30505~134|32137~134|32062~134|30518~134|32021~134|32063~134|0~134,1,10006~75|23204~1,10005~40000~1|10006~120~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
177,0,124770,0,30504,30505~135|32137~135|30518~135|30512~135|30504~135|30515~135|0~135,1,10006~75|23104~1,10005~40000~1|10006~120~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
178,0,124770,0,32180,30517~135|32301~135|30502~135|30504~135|32180~135|32025~135|0~135,1,10006~75|23304~1,10005~40000~1|10006~120~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
179,0,126280,0,30515,30517~135|32020~135|30507~135|30503~135|30515~135|30511~135|0~135,1,10006~75|23404~1,10005~40000~1|10006~120~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
180,1,127775,31142,31142,32301~136|30513~136|0~136|0~136|0~136|0~136|31142~141,1,10006~155|23204~1|23104~1|23304~1|23404~1,10005~40000~1|10006~120~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
181,0,127775,0,30518,32019~136|32137~136|30515~136|30507~136|30518~136|30503~136|0~136,1,10006~75|23204~1,10005~41000~1|10006~122~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
182,0,128545,0,32025,30509~136|32060~136|30511~136|32064~136|32025~136|32140~136|0~136,1,10006~75|23104~1,10005~41000~1|10006~122~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
183,0,128545,0,32220,30509~137|30513~137|30508~137|30511~137|32220~137|32023~137|0~137,1,10006~75|23304~1,10005~41000~1|10006~122~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
184,0,130040,0,30503,30516~137|30506~137|32064~137|30512~137|30503~137|32140~137|0~137,1,10006~75|23404~1,10005~41000~1|10006~122~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
185,1,131535,0,30508,30510~138|32137~138|32062~138|32180~138|30508~138|30511~138|0~138,1,10006~155|23204~1|23104~1|23304~1|23404~1,10005~41000~1|10006~122~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
186,0,131535,0,32064,32020~138|30506~138|32180~138|32060~138|32064~138|30512~138|0~138,1,10006~80|23204~1,10005~42000~1|10006~124~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
187,0,132325,0,32219,30505~138|32301~138|32180~138|30504~138|32219~138|30503~138|0~138,1,10006~80|23104~1,10005~42000~1|10006~124~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
188,0,132325,0,32140,32021~139|30510~139|30504~139|30504~139|32140~139|32220~139|0~139,1,10006~80|23304~1,10005~42000~1|10006~124~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
189,0,133820,0,32025,32019~139|30509~139|30504~139|30507~139|32025~139|32217~139|0~139,1,10006~80|23404~1,10005~42000~1|10006~124~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
190,1,135330,30507,30507,32019~140|32020~140|0~140|0~140|0~140|0~140|30507~145,1,10006~160|23204~1|23104~1|23304~1|23404~1,10005~42000~1|10006~124~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
191,0,135330,0,30502,30509~140|30509~140|32063~140|30504~140|30502~140|30512~140|0~140,1,10006~80|23204~1,10005~43000~1|10006~126~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
192,0,138645,0,30512,30510~140|32021~140|32342~140|30504~140|30512~140|30508~140|0~140,1,10006~80|23104~1,10005~43000~1|10006~126~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
193,0,138645,0,30515,32060~140|30505~140|32064~140|32024~140|30515~140|32025~140|0~140,1,10006~80|23304~1,10005~43000~1|10006~126~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
194,0,140225,0,30507,32060~141|32020~141|32061~141|30511~141|30507~141|32060~141|0~141,1,10006~80|23404~1,10005~43000~1|10006~126~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
195,1,141810,0,32061,32021~141|32059~141|30503~141|32063~141|32061~141|30502~141|0~141,1,10006~160|23204~1|23104~1|23304~1|23404~1,10005~43000~1|10006~126~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
196,0,141810,0,30504,30510~141|30506~141|32021~141|32060~141|30504~141|32023~141|0~141,1,10006~80|23204~1,10005~44000~1|10006~128~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
197,0,142665,0,30518,30510~142|30505~142|30507~142|32062~142|30518~142|30511~142|0~142,1,10006~80|23104~1,10005~44000~1|10006~128~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
198,0,142665,0,32142,30501~142|32137~142|32024~142|30502~142|32142~142|30507~142|0~142,1,10006~80|23304~1,10005~44000~1|10006~128~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
199,0,144260,0,32063,30505~142|32020~142|30518~142|32021~142|32063~142|30508~142|0~142,1,10006~80|23404~1,10005~44000~1|10006~128~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
200,1,145865,31064,31064,32059~143|30517~143|0~143|0~143|0~143|0~143|31064~148,1,10006~160|23204~1|23104~1|23304~1|23404~1,10005~44000~1|10006~128~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
201,0,145865,0,32142,32301~143|30513~143|32180~143|32217~143|32142~143|30512~143|0~143,1,10006~80|23204~1,10005~45000~1|10006~130~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
202,0,146720,0,32342,32060~144|30513~144|32024~144|30515~144|32342~144|30512~144|0~144,1,10006~80|23104~1,10005~45000~1|10006~130~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
203,0,146720,0,30508,30510~144|32301~144|32140~144|30511~144|30508~144|30512~144|0~144,1,10006~80|23304~1,10005~45000~1|10006~130~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
204,0,148320,0,30507,32021~145|32020~145|32025~145|30502~145|30507~145|30515~145|0~145,1,10006~80|23404~1,10005~45000~1|10006~130~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
205,1,149925,0,32062,30506~145|30506~145|32025~145|32140~145|32062~145|32064~145|0~145,1,10006~160|23204~1|23104~1|23304~1|23404~1,10005~45000~1|10006~130~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
206,0,149925,0,30515,32301~146|32301~146|32141~146|30515~146|30515~146|30502~146|0~146,1,10006~80|23204~1,10005~46000~1|10006~132~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
207,0,150805,0,30503,30506~146|30517~146|32060~146|30511~146|30503~146|30503~146|0~146,1,10006~80|23104~1,10005~46000~1|10006~132~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
208,0,150805,0,30502,32020~147|32060~147|32141~147|30511~147|30502~147|30511~147|0~147,1,10006~80|23304~1,10005~46000~1|10006~132~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
209,0,152415,0,30504,32060~147|32021~147|30507~147|30512~147|30504~147|30512~147|0~147,1,10006~80|23404~1,10005~46000~1|10006~132~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
210,1,154035,30515,30515,32059~148|32020~148|0~148|0~148|0~148|0~148|30515~153,1,10006~160|23204~1|23104~1|23304~1|23404~1,10005~46000~1|10006~132~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
211,0,154035,0,32024,30513~148|32301~148|30503~148|32219~148|32024~148|30511~148|0~148,1,10006~80|23204~1,10005~47000~1|10006~134~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
212,0,154910,0,32140,30517~148|32137~148|30503~148|32063~148|32140~148|30512~148|0~148,1,10006~80|23104~1,10005~47000~1|10006~134~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
213,0,154910,0,32021,30509~148|32020~148|30511~148|30504~148|32021~148|32220~148|0~148,1,10006~80|23304~1,10005~47000~1|10006~134~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
214,0,156535,0,32140,30510~149|32301~149|32140~149|32021~149|32140~149|30518~149|0~149,1,10006~80|23404~1,10005~47000~1|10006~134~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
215,1,158160,0,32064,32059~149|32301~149|30518~149|30502~149|32064~149|32025~149|0~149,1,10006~165|23204~1|23104~1|23304~1|23404~1,10005~47000~1|10006~134~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
216,0,158160,0,30504,32020~149|30501~149|30511~149|32064~149|30504~149|30511~149|0~149,1,10006~80|23204~1,10005~48000~1|10006~136~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
217,0,159045,0,32470,32301~150|32138~150|32025~150|32021~150|32470~150|32324~150|0~150,1,10006~80|23104~1,10005~48000~1|10006~136~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
218,0,159045,0,32341,32019~150|32058~150|32341~150|32060~150|32341~150|32260~150|0~150,1,10006~80|23304~1,10005~48000~1|10006~136~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
219,0,160680,0,32061,32058~150|32021~150|32342~150|32219~150|32061~150|32063~150|0~150,1,10006~80|23404~1,10005~48000~1|10006~136~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
220,1,162320,31024,31024,32445~151|32445~151|0~151|0~151|0~151|0~151|31024~156,1,10006~165|23204~1|23104~1|23304~1|23404~1,10005~48000~1|10006~136~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
221,0,162320,0,30256,32137~151|32138~151|32324~151|32324~151|30256~151|32022~151|0~151,1,10006~80|23204~1,10005~49000~1|10006~138~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
222,0,163210,0,32142,32059~152|32138~152|30256~152|32341~152|32142~152|32236~152|0~152,1,10006~80|23104~1,10005~49000~1|10006~138~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
223,0,163210,0,32219,32019~153|32137~153|32236~153|32217~153|32219~153|32341~153|0~153,1,10006~80|23304~1,10005~49000~1|10006~138~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
224,0,164855,0,32024,32020~153|32059~153|32220~153|32060~153|32024~153|32023~153|0~153,1,10006~80|23404~1,10005~49000~1|10006~138~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
225,1,166510,0,32061,32021~154|32137~154|32324~154|32217~154|32061~154|32470~154|0~154,1,10006~165|23204~1|23104~1|23304~1|23404~1,10005~49000~1|10006~138~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
226,0,166510,0,32236,32445~155|32137~155|30256~155|32142~155|32236~155|32021~155|0~155,1,10006~80|23204~1,10005~50000~1|10006~140~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
227,0,167410,0,32324,32058~155|32301~155|32180~155|32180~155|32324~155|32341~155|0~155,1,10006~80|23104~1,10005~50000~1|10006~140~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
228,0,167410,0,32217,32236~156|32301~156|32342~156|30256~156|32217~156|32061~156|0~156,1,10006~80|23304~1,10005~50000~1|10006~140~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
229,0,172435,0,32061,32137~157|32236~157|32217~157|32060~157|32061~157|32260~157|0~157,1,10006~80|23404~1,10005~50000~1|10006~140~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
230,1,174145,31217,31217,32236~158|32058~158|0~158|0~158|0~158|0~158|31217~163,1,10006~165|23204~1|23104~1|23304~1|23404~1,10005~50000~1|10006~140~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
231,0,174145,0,32025,32137~158|32136~158|32022~158|32064~158|32025~158|32260~158|0~158,1,10006~80|23204~1,10005~51000~1|10006~142~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
232,0,175080,0,32022,32059~158|32301~158|32220~158|32021~158|32022~158|32300~158|0~158,1,10006~80|23104~1,10005~51000~1|10006~142~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
233,0,175080,0,32025,32020~158|32137~158|32260~158|32180~158|32025~158|32300~158|0~158,1,10006~80|23304~1,10005~51000~1|10006~142~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
234,0,148160,0,32300,32236~159|32137~159|32260~159|32024~159|32300~159|32022~159|0~159,1,10006~80|23404~1,10005~51000~1|10006~142~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
235,1,157015,0,32324,32020~159|32021~159|32341~159|32341~159|32324~159|32324~159|0~159,1,10006~165|23204~1|23104~1|23304~1|23404~1,10005~51000~1|10006~142~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
236,0,157015,0,32021,32019~159|32059~159|32470~159|32236~159|32021~159|32021~159|0~159,1,10006~85|23204~1,10005~52000~1|10006~144~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
237,0,157980,0,32324,32060~160|32060~160|32324~160|32064~160|32324~160|32060~160|0~160,1,10006~85|23104~1,10005~52000~1|10006~144~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
238,0,157980,0,32342,32136~160|32324~160|30256~160|32142~160|32342~160|32324~160|0~160,1,10006~85|23304~1,10005~52000~1|10006~144~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
239,0,159720,0,32022,32138~160|32060~160|32060~160|32062~160|32022~160|32341~160|0~160,1,10006~85|23404~1,10005~52000~1|10006~144~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
240,1,161470,31022,31022,32136~161|32138~161|0~161|0~161|0~161|0~161|31022~166,1,10006~170|23204~1|23104~1|23304~1|23404~1,10005~52000~1|10006~144~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
241,0,161470,0,32180,32060~161|32020~161|32063~161|32341~161|32180~161|32021~161|0~161,1,10006~85|23204~1,10005~53000~1|10006~146~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
242,0,162435,0,32024,32138~162|32020~162|32024~162|32260~162|32024~162|32300~162|0~162,1,10006~85|23104~1,10005~53000~1|10006~146~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
243,0,164195,0,32217,32019~162|32324~162|32341~162|32022~162|32217~162|32021~162|0~162,1,10006~85|23304~1,10005~53000~1|10006~146~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
244,0,164195,0,32142,32137~163|32059~163|32022~163|32025~163|32142~163|32300~163|0~163,1,10006~85|23404~1,10005~53000~1|10006~146~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
245,1,165955,0,32025,32324~163|32020~163|32022~163|32260~163|32025~163|32220~163|0~163,1,10006~170|23204~1|23104~1|23304~1|23404~1,10005~53000~1|10006~146~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
246,0,165955,0,32024,32060~164|32137~164|32062~164|32300~164|32024~164|32470~164|0~164,1,10006~85|23204~1,10005~54000~1|10006~148~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
247,0,166940,0,32022,32235~164|32137~164|32021~164|32341~164|32022~164|32025~164|0~164,1,10006~85|23104~1,10005~54000~1|10006~148~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
248,0,168700,0,32060,32137~165|32059~165|32324~165|32300~165|32060~165|32260~165|0~165,1,10006~85|23304~1,10005~54000~1|10006~148~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
249,0,168700,0,32023,32137~165|32136~165|32324~165|32300~165|32023~165|30256~165|0~165,1,10006~85|23404~1,10005~54000~1|10006~148~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
250,1,170465,31217,31217,32324~166|32445~166|0~166|0~166|0~166|0~166|31217~171,1,10006~170|23204~1|23104~1|23304~1|23404~1,10005~54000~1|10006~148~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
251,0,170465,0,30256,32020~166|32020~166|32217~166|32141~166|30256~166|32470~166|0~166,1,10006~85|23204~1,10005~55000~1|10006~150~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
252,0,171455,0,32260,32058~167|32021~167|32140~167|32341~167|32260~167|32022~167|0~167,1,10006~85|23104~1,10005~55000~1|10006~150~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
253,0,173245,0,32022,32445~167|32137~167|32260~167|32021~167|32022~167|32142~167|0~167,1,10006~85|23304~1,10005~55000~1|10006~150~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
254,0,173245,0,32022,32235~168|32301~168|32024~168|32260~168|32022~168|32060~168|0~168,1,10006~85|23404~1,10005~55000~1|10006~150~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
255,1,175015,0,32260,32341~168|32019~168|32324~168|32022~168|32260~168|32021~168|0~168,1,10006~170|23204~1|23104~1|23304~1|23404~1,10005~55000~1|10006~150~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
256,0,175015,0,32063,32021~169|32136~169|32142~169|32342~169|32063~169|32180~169|0~169,1,10006~85|23204~1,10005~56000~1|10006~152~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
257,0,176015,0,32324,32137~169|32059~169|32300~169|32470~169|32324~169|32470~169|0~169,1,10006~85|23104~1,10005~56000~1|10006~152~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
258,0,177805,0,32022,32019~170|32060~170|32064~170|32142~170|32022~170|32342~170|0~170,1,10006~85|23304~1,10005~56000~1|10006~152~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
259,0,177805,0,32236,32235~170|32301~170|32260~170|32220~170|32236~170|32023~170|0~170,1,10006~85|23404~1,10005~56000~1|10006~152~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
260,1,179595,31220,31220,32059~171|32136~171|0~171|0~171|0~171|0~171|31220~176,1,10006~170|23204~1|23104~1|23304~1|23404~1,10005~56000~1|10006~152~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
261,0,179595,0,32324,32059~171|32060~171|32062~171|32470~171|32324~171|32023~171|0~171,1,10006~85|23204~1,10005~57000~1|10006~154~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
262,0,180605,0,32180,32236~171|32236~171|32236~171|32025~171|32180~171|30256~171|0~171,1,10006~85|23104~1,10005~57000~1|10006~154~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
263,0,182400,0,32140,32059~172|32137~172|32022~172|32021~172|32140~172|32470~172|0~172,1,10006~85|23304~1,10005~57000~1|10006~154~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
264,0,182400,0,32180,32019~172|32235~172|32341~172|30256~172|32180~172|32063~172|0~172,1,10006~85|23404~1,10005~57000~1|10006~154~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
265,1,184205,0,32060,32324~173|32058~173|32260~173|32260~173|32060~173|32219~173|0~173,1,10006~175|23204~1|23104~1|23304~1|23404~1,10005~57000~1|10006~154~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
266,0,184205,0,32260,32301~173|32137~173|32023~173|32063~173|32260~173|32063~173|0~173,1,10006~85|23204~1,10005~58000~1|10006~156~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
267,0,185220,0,32341,32136~173|32341~173|32061~173|32220~173|32341~173|32180~173|0~173,1,10006~85|23104~1,10005~58000~1|10006~156~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
268,0,203135,0,32219,32445~174|32060~174|32064~174|32025~174|32219~174|32341~174|0~174,1,10006~85|23304~1,10005~58000~1|10006~156~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
269,0,203135,0,32470,32301~174|32058~174|32022~174|32061~174|32470~174|32324~174|0~174,1,10006~85|23404~1,10005~58000~1|10006~156~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
270,1,205135,31341,31341,32324~175|32236~175|0~175|0~175|0~175|0~175|31341~180,1,10006~175|23204~1|23104~1|23304~1|23404~1,10005~58000~1|10006~156~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
271,0,205135,0,32220,32059~175|32060~175|32300~175|30256~175|32220~175|32236~175|0~175,1,10006~85|23204~1,10005~59000~1|10006~158~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
272,0,206335,0,32260,32341~176|32324~176|32025~176|32220~176|32260~176|32300~176|0~176,1,10006~85|23104~1,10005~59000~1|10006~158~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
